ingredient_name|serving_size|serving_size_unit|description|energy|energy_unit|protein|protein_unit|total_fat|total_fat_unit|saturated_fat|saturated_fat_unit|dietary_fibre|dietary_fibre_unit|carbohydrate|carbohydrate_unit|cholesterol|cholesterol_unit|sodium|sodium_unit
Beef, blade steak, raw, lean only|230|g|Grilled as purchased with internal and external separable fat removed after cooking.|198.22|kcal|38.81|g|4.54|g|1.57|g|||||78.66|mg|97.89|mg
Beef, boneless, unspecified cut, raw, lean and fat|215|g||388.77|kcal|42.14|g|24.65|g|11.8|g|||||134.85|mg|113.78|mg
Beef, boneless, unspecified cut, raw, lean only|215|g||257.96|kcal|46.44|g|7.96|g|3.87|g|||||129|mg|124.7|mg
Beef, brisket, corned, raw, lean and fat|575|g||1087.54|kcal|92.86|g|76.47|g|37.15|g|||||256.74|mg|5784.79|mg
Beef, brisket, corned, raw, lean only|575|g||408.16|kcal|85.39|g|6.9|g|3.45|g|||||194.06|mg|5304.38|mg
Beef, chuck steak, raw, lean and fat|215|g|Raw meat as purchased without removal of internal and external separable fats.|377.18|kcal|45.26|g|21.9|g|8.55|g|||||137.64|mg|118.87|mg
Beef, chuck steak, raw, lean only|189|g|Raw meat with internal and external separable fat removed.|205.7|kcal|38.25|g|5.65|g|1.5|g|||||111.43|mg|103.12|mg
Beef, fillet, raw, lean and fat|115|g|Raw meat as purchased without removal of internal and external separable fats.|191.16|kcal|24.23|g|10.48|g|4.17|g|||||65.37|mg|61.98|mg
Beef, fillet, raw, lean only|115|g|Raw meat with internal and external separable fat removed|138|kcal|22.47|g|5.26|g|2.02|g|||||58.7|mg|57.68|mg
Beef, minced, raw|240|g|Minced beef supplied with a fat content of around 10%, so that it is suitable for general cooking purposes. May also be referred to as being 80 to 90% Chemical Lean.|425.45|kcal|48.24|g|25.92|g|9.36|g|||||182.4|mg|153.6|mg
Beef, rib steak, raw, lean and fat|250|g||527.54|kcal|37.06|g|42.73|g|20.86|g|||||151.88|mg|91.13|mg
Beef, rib steak, raw, lean only|250|g||191.23|kcal|34.02|g|5.99|g|2.93|g|||||105.53|mg|83.48|mg
Beef, ribeye steak, raw, lean and fat|165|g||299.34|kcal|33.07|g|18.65|g|9.06|g|||||111.29|mg|67.4|mg
Beef, ribeye steak, raw, lean only|165|g||184.18|kcal|32.02|g|6.1|g|2.99|g|||||92.86|mg|63.76|mg
Beef, round steak, raw, lean and fat|380|g|Raw meat as purchased without removal of internal and external separable fats.|516.38|kcal|76|g|22.8|g|9.5|g|||||235.6|mg|182.4|mg
Beef, round steak, raw, lean only|380|g|Raw meat with external separable fat and most internal separable fat removed.|351.28|kcal|73.42|g|5.94|g|2.1|g|||||216.75|mg|174.8|mg
Beef, rump steak, raw, lean and fat|320|g|Raw meat as purchased without removal of internal and external separable fats.|617.7|kcal|59.88|g|42.45|g|16.79|g|||||196.42|mg|145.73|mg
Beef, rump steak, raw, lean only|320|g|Raw meat with internal and external separable fat removed.|279.05|kcal|52.88|g|7.26|g|2.59|g|||||160.7|mg|129.6|mg
Beef, silverside roast, raw, semi-trimmed|1091|g|Raw meat with external separable fat removed|1304.56|kcal|227.54|g|43.2|g|16.32|g|||||345.63|mg|412.83|mg
Beef, silverside, corned, raw, lean and fat|565|g||724.59|kcal|89.5|g|40.83|g|20.02|g|||||257.3|mg|8792.98|mg
Beef, silverside, corned, raw, lean only|565|g||402.62|kcal|86.99|g|5.53|g|2.72|g|||||226.28|mg|8397.59|mg
Beef, silverside, raw, lean and fat|565|g||724.59|kcal|89.5|g|40.83|g|20.02|g|||||257.3|mg|8792.98|mg
Beef, silverside, raw, lean only|565|g||402.62|kcal|86.99|g|5.53|g|2.72|g|||||226.28|mg|8397.59|mg
Beef, sirloin steak, raw, lean and fat|255|g|New York steak|461.2|kcal|43.45|g|32.23|g|13.46|g|||||118.32|mg|102|mg
Beef, sirloin steak, raw, lean only|255|g|New York steak|212.54|kcal|40.83|g|5.3|g|2.05|g|||||99.09|mg|95.68|mg
Beef, topside roast, raw, lean and fat|1382|g|Raw meat as purchased without removal of internal and external separable fats.|2251.55|kcal|294.37|g|118.85|g|48.37|g|||||511.34|mg|580.44|mg
Beef, topside roast, raw, lean only|1249|g|Raw meat with external separable fat removed.|1898.69|kcal|381.57|g|38.74|g|11.74|g|||||422.66|mg|633.99|mg
Beef, topside roast, raw, semi-trimmed|1316|g|Raw meat with external separable fat removed.|1704.03|kcal|280.83|g|63.83|g|25.53|g|||||459.55|mg|548.9|mg
Beehoon, raw (HCS)|100|g||365|kcal|5.9|g|0.6|g|0.23|g|2.2|g|84|g|||11|mg
Beetroot, raw, peeled|240|g|Tiar cai; booni-sarura-relengu; tui-choi, akar bit; beets|85.9|kcal|3.26|g|0.19|g|||6.72|g|14.78|g|||94.08|mg
Betel leaf, raw|2|g||0.8|kcal|0.06|g|0.01|g|||0.04|g|0.12|g|||0.06|mg
Black pomfret fish, raw|352|g||234.57|kcal|37.65|g|9.07|g|5.3|g|||0.79|g|95.41|mg|212.89|mg
Blackberries, raw|150|g||61.92|kcal|2|g|0.71|g|0.02|g|7.63|g|13.84|g|||1.44|mg
Blueberries, raw|1.36|g||0.74|kcal|0.01|g|0|g|0|g|0.03|g|0.16|g|||0.01|mg
Breadfruit, raw, peeled|50|g||34.6|kcal|0.5|g|0.19|g|||1.08|g|7.7|g|||7.32|mg
Bream, African, raw|216|g||82.08|kcal|14.17|g|2.33|g|0.87|g|||1.04|g|52.7|mg|41.47|mg
Bream, red, African, raw|294|g||107.34|kcal|22.01|g|2.01|g|0.76|g|||0.34|g|68.15|mg|35.75|mg
Bream, threadfin, Japanese, raw|166|g||79.52|kcal|13.44|g|2.51|g|1.26|g|||0.8|g|39.44|mg|179.68|mg
Broccoli, raw|154|g|yang hua ye cai, kai-lan-fa|44.54|kcal|6.31|g|0.15|g|0|g|5.85|g|4.31|g|||18.48|mg
Brown rice yellow noodles, raw|200|g|Values based on 100g raw noodles (no change in yield)|388|kcal|10.2|g|3.8|g|0.6|g|3.6|g|78.6|g|||699.6|mg
Brussel sprouts, raw|129.41|g|xiao ye cai, baby cabbage|31.58|kcal|3.34|g|0.26|g|||3.96|g|1.85|g|||26.4|mg
Cabbage, celery, straight cylindrical, raw|680|g||99.32|kcal|10.55|g|2.64|g|0.66|g|4.62|g|7.92|g|||26.38|mg
Cabbage, celery, wrapped head, raw|906|g||88.65|kcal|9.47|g|2.58|g|0.86|g|6.89|g|6.89|g|||77.46|mg
Cabbage, chinese, salted, raw|274|g||110.02|kcal|4.11|g|1.1|g|||3.56|g|21.1|g|||5104.62|mg
Cabbage, common, raw|70|g||11.08|kcal|0.81|g|0.1|g|0.02|g|1.16|g|1.71|g|||8.06|mg
Cabbage, red, raw|70|g|Large, smooth and round in shape, with layers of tightly packed purple-red coloured leaves.|17.16|kcal|1.29|g|0.18|g|||2|g|1.59|g|||9.41|mg
Cabbage, white, chinese, raw|87|g||12.12|kcal|1.44|g|0.15|g|||0.45|g|1.21|g|||12.87|mg
Carp, Javanese, freshwater, raw|121|g||97.16|kcal|10.78|g|5.99|g|2|g|||0.07|g|74.54|mg|27.29|mg
Carp, big head, raw, freshwater|364|g||258.7|kcal|33.23|g|13.86|g|4.63|g|||0.41|g|228.3|mg|101.92|mg
Carp, common, freshwater, raw|285|g||121.63|kcal|21.34|g|2.87|g|0.78|g|||2.6|g|114.91|mg|91.66|mg
Carp, freshwater, raw|121|g||97.16|kcal|10.78|g|5.99|g|2|g|||0.07|g|74.54|mg|27.29|mg
Carp, grass, freshwater, raw|99|g||62.46|kcal|10.21|g|2.4|g|0.87|g|||||51.94|mg|29.59|mg
Carrot, mature, raw, peeled|162.37|g|Hu luo bo; aruvathu-kelengu; hu-loh-pak; ang-chai-tau; lobak merah|43.58|kcal|1.1|g|0.14|g|0|g|5.38|g|6.9|g|||55.21|mg
Carrots, baby, raw|10|g||3.5|kcal|0.06|g|0.01|g|0|g|0.29|g|0.53|g|||7.8|mg
Cashew leaf, raw|45|g||10.87|kcal|1.18|g|0.06|g|||0.62|g|1.4|g|||2.17|mg
Catfish, eel, raw|130|g||92.04|kcal|13.42|g|3.84|g|||||0.92|g|||58.29|mg
Catfish, freshwater, raw|51|g||42.96|kcal|4.48|g|2.65|g|1.5|g|||0.29|g|12.97|mg|8.08|mg
Catfish, giant, sea, raw|488|g||159.87|kcal|37.51|g|0.41|g|0.13|g|||1.43|g|186.51|mg|170.12|mg
Catfish, river, raw|210|g||94.12|kcal|20.19|g|1.02|g|0.24|g|||1.02|g|60.1|mg|17.01|mg
Cauliflower, raw|575|g||184.16|kcal|18.4|g|||||12.65|g|27.6|g|||327.75|mg
Celery, raw|680|g||99.32|kcal|10.55|g|2.64|g|0.66|g|4.62|g|7.92|g|||26.38|mg
Cherries, sweet, raw|150|g||85.05|kcal|1.43|g|0.27|g|0.05|g|2.84|g|21.61|g||||
Chicken ball, raw|190|g|Raw processed chicken meat, in shape of balls|342|kcal|25.65|g|17.86|g|7.54|g|3.8|g|20.14|g|39.9|mg|1362.3|mg
Chicken thigh, skinless, boneless, raw|69|g||82.11|kcal|12.63|g|3.45|g|1.03|g|||||54.51|mg|42.78|mg
Chicken, breast, raw, lean and skin|180|g|Raw flesh, skin and fat from breast portion of a chicken|237.01|kcal|28.94|g|13.54|g|4.18|g|||||93.6|mg|56.16|mg
Chicken, breast, raw, lean only|180|g|Uncooked flesh from breast portion of the chicken. All skin removed.|116.93|kcal|24.89|g|1.79|g|0.56|g|||||65.84|mg|45.76|mg
Chicken, broiler or fryer, unspecified cut, raw, meat and skin|1262|g||1845.95|kcal|159.62|g|129.58|g|36.9|g|||||643.62|mg|600.71|mg
Chicken, broiler or fryer, unspecified cut, raw, meat only|1262|g||721.01|kcal|129.63|g|18.78|g|4.85|g|||||424.03|mg|466.44|mg
Chicken, broiler or fryer, unspecified cut, raw, skin only|79|g||275.48|kcal|10.51|g|25.44|g|7.19|g|||||86.11|mg|49.77|mg
Chicken, drumstick, raw, lean and skin|115|g|Uncooked flesh, skin and separable fat from the drumstick portion of a chicken|113.56|kcal|12.95|g|6.84|g|2.06|g|||||63.3|mg|49.31|mg
Chicken, drumstick, raw, lean only|115|g|Uncooked flesh from drumstick portion of a chicken. All skin removed.|73.09|kcal|11.49|g|2.98|g|0.87|g|||||52.16|mg|44.09|mg
Chicken, feet, raw|77|g||89.66|kcal|11.34|g|4.92|g|1.08|g|||||44.41|mg|47|mg
Chicken, gizzard, raw|23|g||22.1|kcal|3.8|g|0.62|g|0.21|g|||0.3|g|29.9|mg|15.18|mg
Chicken, ground, raw|112|g||160.16|kcal|19.53|g|9.07|g|2.58|g|||0.04|g|96.32|mg|67.2|mg
Chicken, heart, raw|10.67|g||11.42|kcal|1.65|g|0.53|g|0.18|g|||||14.51|mg|10.35|mg
Chicken, intestine, raw|5.11|g||7.35|kcal|0.42|g|0.63|g|0.21|g|||||4.24|mg|1.12|mg
Chicken, liver, raw|40.45|g||46.89|kcal|7.77|g|1.33|g|0.44|g|||0.97|g|177.58|mg|29.12|mg
Chicken, matured, dressed, carcass, raw, lean and skin|1280|g||1317.02|kcal|199.81|g|57.34|g|16.13|g|||||806.4|mg|1012.48|mg
Chicken, matured, raw, dressed carcass, lean only|1371|g||783.28|kcal|140.83|g|20.4|g|5.26|g|||||460.66|mg|506.72|mg
Chicken, neck, raw, lean and skin|49.11|g||81.68|kcal|3.87|g|7.22|g|2|g|||||27.23|mg|17.6|mg
Chicken, thigh, raw, lean and skin|175|g||300.14|kcal|23.21|g|23.07|g|7.23|g|||||114.66|mg|70.98|mg
Chicken, wing, raw, lean and skin|85|g||104.7|kcal|7.99|g|8.09|g|2.57|g|||||36|mg|26.65|mg
Chicken, wing, raw, lean only|70.69|g||36.52|kcal|6.37|g|1.03|g|0.27|g|||||16.52|mg|23.48|mg
Chicken, wing, tip, raw|12.2|g||20.01|kcal|0.76|g|1.85|g|0.52|g|||||6.25|mg|3.61|mg
Chickpeas, raw|313|g|Raw chick peas|513.32|kcal|28.17|g|3.13|g|0.34|g|22.54|g|93.27|g|||25.04|mg
Chilli paste, raw, commercial|25|g||16.5|kcal|0.8|g|0.6|g|0.1|g|1.05|g|1.98|g|||396.25|mg
Chilli, green, raw|8|g||3.03|kcal|0.16|g|0.04|g|0.01|g|0.16|g|0.52|g|||0.23|mg
Chilli, red, raw|8|g||2.74|kcal|0.21|g|0.05|g|0.01|g|0.36|g|0.34|g|||0.76|mg
Chilli, small, raw|112|g||49.57|kcal|4.11|g|0.74|g|0.11|g|7.37|g|6.53|g|||36.85|mg
China pearl barley, raw|290|g||1046.9|kcal|43.5|g|7.54|g|0.84|g|11.6|g|201.55|g|||118.9|mg
Chives, chinese, raw|78|g||24.24|kcal|2.11|g|0.47|g|0.08|g|0.94|g|2.96|g|||1.56|mg
Choko, raw, peeled|200|g|Li gua, vegetable pear, fuo shou gua; Chayote|34.96|kcal|0.84|g|0.34|g|||2.35|g|6.05|g|||13.44|mg
Chrysanthemum, garland, raw|88|g||11.65|kcal|1.78|g|0.34|g|||0.62|g|0.34|g|||43.24|mg
Ciku, raw|65|g||43.71|kcal|0.21|g|0.43|g|0.07|g|2.82|g|9.81|g|||11.19|mg
Cilantro, raw|1.6|g||0.38|kcal|0.03|g|0.01|g|0|g|0.04|g|0.07|g|||0.86|mg
Clam, raw|10.5|g||3.18|kcal|0.56|g|0.06|g|0.02|g|||0.1|g|5.29|mg|12.1|mg
Cockle, raw|9.9|g||2.2|kcal|0.36|g|0.04|g|0.01|g|||0.12|g|1.57|mg|7.84|mg
Cod, coral, with black stripe, raw|200|g||67.2|kcal|15.46|g|0.42|g|0.13|g|||0.34|g|76.44|mg|91.56|mg
Cod, raw|200|g||67.2|kcal|15.46|g|0.42|g|0.13|g|||0.34|g|76.44|mg|91.56|mg
Cod, smoked, raw|120|g|Uncooked fillets of cod preserved by cold or liquid smoking so that the fish has an orange colour.|102.78|kcal|22.56|g|1.2|g|0.24|g|||||58.8|mg|789.6|mg
Coleus tuberosus, leaf, raw|14|g||1.66|kcal|0.07|g|0.02|g|||0.17|g|0.29|g|||0.25|mg
Coriander, raw|54|g||9.91|kcal|0.99|g|||||0.52|g|1.51|g|||2.16|mg
Corn, on cob, raw|300|g||152.88|kcal|5.12|g|1.22|g|0.19|g|4.37|g|32.29|g|||7.8|mg
Crab, blue, raw|21|g||18.27|kcal|3.79|g|0.23|g|0.05|g|||0.01|g|16.38|mg|61.53|mg
Crayfish, raw|30|g||23.1|kcal|4.77|g|0.28|g|0.05|g|||||34.2|mg|17.4|mg
Crocodile meat, raw, unspecified cut|282|g|Raw crocodile meat|403.26|kcal|54.71|g|18.33|g|5.89|g|||2.26|g|67.68|mg|214.32|mg
Cucumber, hairy, raw|410|g||59.09|kcal|2.58|g|0.37|g|0.11|g|2.58|g|11.44|g|||11.07|mg
Cucumber, raw|410|g||59.09|kcal|2.58|g|0.37|g|0.11|g|2.58|g|11.44|g|||11.07|mg
Cucumber, raw, Japanese|6|g||0.65|kcal|0.06|g|0.01|g|0|g|0.02|g|0.09|g|||0.12|mg
Cuttlefish, raw|6|g||4.15|kcal|0.87|g|0.07|g|0.03|g|||0.01|g|6.06|mg|5.24|mg
Dried ee mee, raw|170|g|Deep fried egg noodle|865.3|kcal|12.75|g|44.54|g|20.23|g|3.57|g|103.36|g|||860.2|mg
Drumstick, leaf, raw|26|g||23.12|kcal|1.51|g|0.29|g|||0.31|g|3.64|g|||2.34|mg
Duck, domesticated, raw, lean and skin|1700|g||4600.65|kcal|130.99|g|447.63|g|150.35|g|||||865.64|mg|717.57|mg
Duck, domesticated, raw, lean only|606|g||239.98|kcal|33.23|g|10.82|g|4.22|g|||||139.99|mg|134.53|mg
Duck, intestine, raw|1|g||0.68|kcal|0.08|g|0.04|g|0.01|g|||0|g|0.99|mg|0.17|mg
Duck, liver, raw|44|g||59.63|kcal|8.23|g|2.02|g|0.62|g|||1.54|g|226.6|mg|38.28|mg
Duck, wing, raw, lean and skin|1|g||2.3|kcal|0.07|g|0.22|g|0.08|g|||||||0.31|mg
Duku, raw|29.2|g||6.58|kcal|0.11|g|0.04|g|||||1.45|g|||0.24|mg
Dumpling skin, raw|6|g||15.54|kcal|0.44|g|0.11|g|0.05|g|0.1|g|2.93|g|||38.1|mg
Durian, raw|37.8|g||12.72|kcal|0.22|g|0.28|g|0.09|g|0.32|g|2.32|g|||3.33|mg
Egg, duck, whole, raw|73|g||114.3|kcal|8|g|8.26|g|2.86|g|||1.97|g|358.83|mg|67.32|mg
Egg, duck, yolk, raw|31|g||117.21|kcal|4.5|g|10.48|g|2.91|g|||1.24|g|488.56|mg|9.33|mg
Egg, goose, white, raw|94.34|g||45.32|kcal|8.4|g|||||||3.02|g|||72.92|mg
Egg, goose, whole, raw|165.5|g||282.19|kcal|15.98|g|22.46|g|7.92|g|||4.03|g|1013.65|mg|130.45|mg
Egg, goose, yolk, raw|49.66|g||160.94|kcal|7.7|g|13.11|g|4.32|g|||3.08|g|842.23|mg|12.12|mg
Egg, hen, white, raw|32|g||13.23|kcal|3.2|g|0|g|0|g|||0.13|g|||58.24|mg
Egg, hen, whole, raw|53|g||71.47|kcal|5.95|g|5.12|g|1.48|g|||0.41|g|177.52|mg|56.25|mg
Egg, hen, yolk, raw|12|g||41.16|kcal|1.8|g|3.71|g|1.06|g|||0.14|g|134.4|mg|9.36|mg
Egg, quail, whole, raw|12|g||16.12|kcal|1.34|g|1.13|g|0.36|g|||0.04|g|86.09|mg|14.38|mg
Egg, turtle, white, raw|15|g||0.6|kcal|0.17|g|||||||||||23.1|mg
Egg, turtle, whole, raw|39|g||45.57|kcal|4.45|g|3.04|g|||||0.11|g|||44.83|mg
Egg, turtle, yolk, raw|20|g||55.8|kcal|5.24|g|3.72|g|||||0.32|g|||20.6|mg
Eggplant, raw|131|g||35.9|kcal|2.03|g|0.12|g|0.02|g|1.19|g|6.68|g|||10.73|mg
Endives, raw|50|g||8.5|kcal|0.63|g|0.1|g|0.02|g|1.55|g|0.13|g|||11|mg
Escargot, raw|346.2|g||54|kcal|9.9|g|0.18|g|0.03|g|||3.24|g|138.62|mg||
Farm chicken, raw|641|g||649.97|kcal|61|g|45|g|17.47|g|||||211.32|mg|193.33|mg
Featherback, raw|72|g||43.06|kcal|8.25|g|1.03|g|||||0.21|g|||8.21|mg
Figs, raw|50.5|g||37.04|kcal|0.37|g|0.15|g|0.03|g|1.45|g|9.59|g|||0.5|mg
Fish ball, raw|15|g||12.45|kcal|1.94|g|0.51|g|||||0.03|g|||99.75|mg
Fish ball, spirulina, raw|22|g|Fish ball with tuna and cheese fillings, DoDo brand|18.26|kcal|2.4|g|0.62|g|0.17|g|0.02|g|0.84|g|3.52|mg|84.92|mg
Fish cracker, raw|4.6|g||15.46|kcal|0.74|g|0.04|g|||0.1|g|3.04|g|||48.16|mg
Flake, shark, raw|180|g|Gummy shark|180.86|kcal|44.1|g|0.18|g|0|g|||||90|mg|151.2|mg
Game meat, boar, wild, raw|28.35|g||34.56|kcal|6.1|g|0.94|g|0.28|g|||||28.63|mg|17.01|mg
Garlic, raw|4.6|g||6.73|kcal|0.18|g|0|g|0|g|0.03|g|1.49|g|||0.47|mg
Garoupa, raw|359|g|Raw garoupa fish|185.53|kcal|43.21|g|1.46|g|0.51|g|||||26.85|mg|234.36|mg
Ginger, raw, peeled|2.2|g||1.14|kcal|0.05|g|0.02|g|0.01|g|0.04|g|0.19|g|||0.07|mg
Goat meat, raw, lean|97|g||117.31|kcal|20.27|g|4.07|g|1.94|g|||||36.86|mg|47.53|mg
Goat, heart, raw|83|g||78.31|kcal|9.61|g|4.42|g|1.65|g|||||110.49|mg|72.48|mg
Goby, raw|200|g||65.12|kcal|15.05|g|0.26|g|||||0.62|g|||28.16|mg
Goose, liver, raw|94|g||124.91|kcal|15.42|g|4.04|g|1.5|g|||5.92|g|267.9|mg|131.6|mg
Goose, raw, meat only|1532|g||1163.35|kcal|164.17|g|51.12|g|20.16|g|||||604.83|mg|626.43|mg
Gouramy, giant, raw|566|g||271.49|kcal|47.09|g|8.51|g|||||1.6|g|||55.86|mg
Gouramy, snakeskin, raw|121|g||51.64|kcal|10.4|g|0.99|g|||||0.29|g|||5.81|mg
Gourd, bitter, raw|444.89|g|Balsam pear, ku gua, peria|64.12|kcal|3.2|g|0.4|g|0.04|g|3.6|g|11.61|g|||68.07|mg
Gourd, bottle, raw|997|g||129.1|kcal|4.29|g|||||3.43|g|28.29|g|||25.72|mg
Gourd, snake, raw|339|g||58.94|kcal|3.29|g|0.33|g|0|g|2.3|g|10.85|g|||26.31|mg
Gourd, wax, raw|957|g||109.52|kcal|2.73|g|1.09|g|0.11|g|2.73|g|21.82|g|||10.91|mg
Gram, black, raw|177|g||578.79|kcal|25.31|g|1.59|g|||31.68|g|116.11|g|||113.28|mg
Gram, red, mature seeds, raw|193|g||629.18|kcal|29.14|g|1.35|g|0.31|g|28.95|g|125.26|g|||28.95|mg
Grape, black, unspecified type, raw|50|g|Buah anggur|32.59|kcal|0.59|g|0.05|g|||1.62|g|6.86|g|||1.47|mg
Grape, green, unspecified type, raw|170|g|Buah anggur hijau|110.85|kcal|1.32|g|0.16|g|||5.77|g|23.75|g|||9.89|mg
Grape, red, raw|3.9|g||2.82|kcal|0.03|g|0.01|g|||0.13|g|0.6|g|||0.18|mg
Grapefruit, raw, pink and red and white, all areas|256|g||40.96|kcal|0.81|g|0.13|g|0.02|g|1.41|g|10.34|g||||
Grapefruit, raw, white, all areas|256|g||40.96|kcal|0.81|g|0.13|g|0.02|g|1.41|g|10.34|g||||
Green beans, raw|207|g||718.29|kcal|49.39|g|2.38|g|0.72|g|33.74|g|95.88|g|||31.05|mg
Grouper, greasy, raw|305|g||110.02|kcal|26.17|g|0.54|g|||||||||101.99|mg
Grunter, silver, raw|180|g||57.46|kcal|13.34|g|0.27|g|||||0.34|g|||39.67|mg
Guava, green skinned, raw, flesh only|325|g||146.51|kcal|3.5|g|0.64|g|0.19|g|17.2|g|31.85|g|||73.26|mg
Halibut, indian, raw|431|g||171.06|kcal|40.97|g|0.42|g|||||1.06|g|||213.3|mg
Herring, round, raw|80|g||46.28|kcal|8.43|g|1.37|g|0.39|g|||||||38.02|mg
Herring, wolf, raw|262|g||160.34|kcal|32.07|g|2.99|g|0.94|g|||1.1|g|113.18|mg|105.32|mg
Hong Kong noodles, raw|215|g|Deep fried egg noodles|769.7|kcal|26.01|g|3.22|g|0.62|g|6.45|g|159.31|g|12.9|mg|2001.65|mg
Ikan bilis, whole, dried, raw|57|g||160|kcal|32.21|g|3.23|g|1.52|g|||0.53|g|194.54|mg|1490.55|mg
Jackfruit, raw|41|g|Raw jackfruit|31.98|kcal|0.16|g|0.08|g|0.03|g|0.82|g|7.63|g|||6.56|mg
Jackfruit, raw, peeled, flesh only|37.84|g||3.92|kcal|0.17|g|0.02|g|||0.32|g|0.77|g|||5.09|mg
Jellyfish, raw|40|g||13.2|kcal|1.48|g|0.12|g|0.04|g|||1.52|g|||130|mg
Jewfish, brown, raw|18|g||6.36|kcal|1.33|g|0.1|g|||||0.03|g|||8.82|mg
Jewfish, silver, raw|22|g||10.67|kcal|2.06|g|0.21|g|0.01|g|||0.13|g|||10.01|mg
Kale, chinese, raw|41|g||11.11|kcal|0.72|g|0.05|g|0.01|g|0.15|g|1.86|g|||4.91|mg
Kale, raw|41|g||11.11|kcal|0.72|g|0.05|g|0.01|g|0.15|g|1.86|g|||4.91|mg
Kampung chicken, raw|506|g|Free-range chicken|301.78|kcal|41.44|g|15.09|g|4.27|g|||||87.77|mg|133.89|mg
Kissing gouramy, raw|69|g||28.77|kcal|6.69|g|0.2|g|||||||||6.09|mg
Kiwifruit, raw|88.4|g||37.25|kcal|0.68|g|0.46|g|||1.22|g|7.07|g|||3.04|mg
