food_name,serving_desc,serving_size,serving_size_unit
"Milk, acidophilus, reduced fat (2%)",1 fl oz,30.5,g
"Milk, acidophilus, reduced fat (2%)",Guideline amount per fl oz of beverage,2.5,g
"Milk, acidophilus, reduced fat (2%)",Guideline amount per cup of hot cereal,61,g
"Milk, low fat (1%)",1 cup,244,g
"Milk, low fat (1%)",1 fl oz,30.5,g
"Milk, low fat (1%)",1 individual school container,244,g
"Milk, low fat (1%)",Guideline amount per fl oz of beverage,2.5,g
"Milk, low fat (1%)",Guideline amount per cup of hot cereal,61,g
"Milk, fat free (skim)",1 cup,244,g
"Milk, fat free (skim)",1 fl oz,30.5,g
"Milk, fat free (skim)",1 individual school container,244,g
"Milk, fat free (skim)",Guideline amount per fl oz of beverage,2.5,g
"Milk, fat free (skim)",Guideline amount per cup of hot cereal,61,g
"Milk, lactose free, low fat (1%)",1 cup,244,g
"Milk, lactose free, low fat (1%)",1 fl oz,30.5,g
"Milk, lactose free, low fat (1%)",Guideline amount per fl oz of beverage,2.5,g
"Milk, lactose free, low fat (1%)",Guideline amount per cup of hot cereal,61,g
"Milk, lactose free, fat free (skim)",1 cup,244,g
"Milk, lactose free, fat free (skim)",1 fl oz,30.5,g
"Milk, lactose free, fat free (skim)",Guideline amount per fl oz of beverage,2.5,g
"Milk, lactose free, fat free (skim)",Guideline amount per cup of hot cereal,61,g
"Milk, lactose free, reduced fat (2%)",1 cup,244,g
"Milk, lactose free, reduced fat (2%)",1 fl oz,30.5,g
"Milk, lactose free, reduced fat (2%)",Guideline amount per fl oz of beverage,2.5,g
"Milk, lactose free, reduced fat (2%)",Guideline amount per cup of hot cereal,61,g
"Milk, lactose free, whole",1 cup,244,g
"Milk, lactose free, whole",1 fl oz,30.5,g
"Milk, lactose free, whole",Guideline amount per fl oz of beverage,2.5,g
"Milk, lactose free, whole",Guideline amount per cup of hot cereal,61,g
"Buttermilk, fat free (skim)",1 cup,244,g
"Buttermilk, fat free (skim)",1 fl oz,30.5,g
"Buttermilk, fat free (skim)",Guideline amount per fl oz of beverage,2.6,g
"Buttermilk, fat free (skim)",Guideline amount per cup of hot cereal,61,g
"Buttermilk, low fat (1%)",1 cup,244,g
"Buttermilk, low fat (1%)",1 fl oz,30.5,g
"Buttermilk, low fat (1%)",Guideline amount per fl oz of beverage,2.6,g
"Buttermilk, low fat (1%)",Guideline amount per cup of hot cereal,61,g
"Buttermilk, reduced fat (2%)",1 cup,244,g
"Buttermilk, reduced fat (2%)",1 fl oz,30.5,g
"Buttermilk, reduced fat (2%)",Guideline amount per fl oz of beverage,2.6,g
"Buttermilk, reduced fat (2%)",Guideline amount per cup of hot cereal,61,g
"Buttermilk, whole",1 cup,244,g
"Buttermilk, whole",1 fl oz,30.5,g
"Buttermilk, whole",Guideline amount per fl oz of beverage,2.6,g
"Buttermilk, whole",Guideline amount per cup of hot cereal,61,g
"Kefir, NS as to fat content",1 cup,244,g
"Kefir, NS as to fat content",1 fl oz,30.5,g
"Goat's milk, whole",1 cup,244,g
"Goat's milk, whole",1 fl oz,30.5,g
"Goat's milk, whole",Guideline amount per fl oz of beverage,2.5,g
"Goat's milk, whole",Guideline amount per cup of hot cereal,61,g
"Milk, dry, reconstituted, NS as to fat content",1 cup,244,g
"Milk, dry, reconstituted, NS as to fat content",1 fl oz,30.5,g
"Milk, dry, reconstituted, NS as to fat content",Guideline amount per fl oz of beverage,2.5,g
"Milk, dry, reconstituted, NS as to fat content",Guideline amount per cup of hot cereal,61,g
"Milk, dry, reconstituted, whole",1 cup,244,g
"Milk, dry, reconstituted, whole",1 fl oz,30.5,g
"Milk, dry, reconstituted, whole",Guideline amount per fl oz of beverage,2.5,g
"Milk, dry, reconstituted, whole",Guideline amount per cup of hot cereal,61,g
"Milk, dry, reconstituted, low fat (1%)",1 cup,244,g
"Milk, dry, reconstituted, low fat (1%)",1 fl oz,30.5,g
"Milk, dry, reconstituted, low fat (1%)",Guideline amount per fl oz of beverage,2.5,g
"Milk, dry, reconstituted, low fat (1%)",Guideline amount per cup of hot cereal,61,g
"Milk, dry, reconstituted, fat free (skim)",1 cup,244,g
"Milk, dry, reconstituted, fat free (skim)",1 fl oz,30.5,g
"Milk, dry, reconstituted, fat free (skim)",Guideline amount per fl oz of beverage,2.5,g
"Milk, dry, reconstituted, fat free (skim)",Guideline amount per cup of hot cereal,61,g
"Milk, evaporated, NS as to fat content",1 cup,252,g
"Milk, evaporated, NS as to fat content",1 fl oz,31.5,g
"Milk, evaporated, NS as to fat content",Guideline amount per fl oz of beverage,2.6,g
"Milk, evaporated, NS as to fat content","Quantity not specified, as a drink or on cereal",126,g
"Milk, evaporated, NS as to fat content","Quantity not specified, if in beverage",16,g
"Milk, evaporated, whole",1 cup,252,g
"Milk, evaporated, whole",1 fl oz,31.5,g
"Milk, evaporated, whole",Guideline amount per fl oz of beverage,2.6,g
"Milk, evaporated, whole","Quantity not specified, as a drink or on cereal",126,g
"Milk, evaporated, whole","Quantity not specified, if in beverage",16,g
"Milk, evaporated, reduced fat (2%)",1 cup,252,g
"Milk, evaporated, reduced fat (2%)",1 fl oz,31.5,g
"Milk, evaporated, reduced fat (2%)","Quantity not specified, if in beverage",16,g
"Milk, evaporated, reduced fat (2%)","Quantity not specified, as a drink or on cereal",126,g
"Milk, evaporated, fat free (skim)",1 cup,252,g
"Milk, evaporated, fat free (skim)",1 fl oz,31.5,g
"Milk, evaporated, fat free (skim)",Guideline amount per fl oz of beverage,2.6,g
"Milk, evaporated, fat free (skim)","Quantity not specified, as a drink or on cereal",126,g
"Milk, evaporated, fat free (skim)","Quantity not specified, if in beverage",16,g
"Milk, condensed, sweetened",1 cup,304,g
"Milk, condensed, sweetened",1 fl oz,38,g
"Non-dairy milk, NFS",1 cup,244,g
"Non-dairy milk, NFS",1 fl oz,30.5,g
"Non-dairy milk, NFS",Guideline amount per fl oz of beverage,2.5,g
"Non-dairy milk, NFS",Guideline amount per cup of hot cereal,61,g
Soy milk,1 cup,244,g
Soy milk,1 fl oz,30.5,g
Soy milk,Guideline amount per fl oz of beverage,2.5,g
Soy milk,Guideline amount per cup of hot cereal,61,g
"Soy milk, light",1 cup,244,g
"Soy milk, light",1 fl oz,30.5,g
"Soy milk, nonfat",1 cup,244,g
"Soy milk, nonfat",1 fl oz,30.5,g
"Soy milk, chocolate",1 cup,244,g
"Soy milk, chocolate",1 fl oz,30.5,g
"Soy milk, light, chocolate",1 cup,244,g
"Soy milk, light, chocolate",1 fl oz,30.5,g
"Soy milk, nonfat, chocolate",1 cup,244,g
"Soy milk, nonfat, chocolate",1 fl oz,30.5,g
"Almond milk, sweetened",1 cup,244,g
"Almond milk, sweetened",1 fl oz,30.5,g
"Almond milk, sweetened",Guideline amount per fl oz of beverage,2.5,g
"Almond milk, sweetened",Guideline amount per cup of hot cereal,61,g
"Almond milk, sweetened, chocolate",1 cup,244,g
"Almond milk, sweetened, chocolate",1 fl oz,30.5,g
"Almond milk, sweetened, chocolate",Guideline amount per fl oz of beverage,2.5,g
"Almond milk, sweetened, chocolate",Guideline amount per cup of hot cereal,61,g
"Almond milk, unsweetened",1 cup,244,g
"Almond milk, unsweetened",1 fl oz,30.5,g
"Almond milk, unsweetened",Guideline amount per fl oz of beverage,2.5,g
"Almond milk, unsweetened",Guideline amount per cup of hot cereal,61,g
"Almond milk, unsweetened, chocolate",1 cup,244,g
"Almond milk, unsweetened, chocolate",1 fl oz,30.5,g
"Almond milk, unsweetened, chocolate",Guideline amount per fl oz of beverage,2.5,g
"Almond milk, unsweetened, chocolate",Guideline amount per cup of hot cereal,61,g
Rice milk,1 cup,244,g
Rice milk,1 fl oz,30.5,g
Rice milk,Guideline amount per fl oz of beverage,2.5,g
Rice milk,Guideline amount per cup of hot cereal,61,g
Coconut milk,1 cup,244,g
Coconut milk,1 fl oz,30.5,g
Coconut milk,Guideline amount per fl oz of beverage,2.5,g
Coconut milk,Guideline amount per cup of hot cereal,61,g
"Yogurt, NFS",1 4 oz container,113,g
"Yogurt, NFS",1 6 oz container,170,g
"Yogurt, NFS","1 container, NFS",170,g
"Yogurt, NFS",1 cup,245,g
"Yogurt, Greek, NS as to type of milk or flavor",1 5.3 oz container,150,g
"Yogurt, Greek, NS as to type of milk or flavor",1 6 oz container,170,g
"Yogurt, Greek, NS as to type of milk or flavor","1 container, NFS",150,g
"Yogurt, Greek, NS as to type of milk or flavor",1 cup,245,g
"Yogurt, NS as to type of milk or flavor",1 4 oz container,113,g
"Yogurt, NS as to type of milk or flavor",1 6 oz container,170,g
"Yogurt, NS as to type of milk or flavor","1 container, NFS",170,g
"Yogurt, NS as to type of milk or flavor",1 cup,245,g
"Yogurt, NS as to type of milk, plain",1 4 oz container,113,g
"Yogurt, NS as to type of milk, plain",1 6 oz container,170,g
"Yogurt, NS as to type of milk, plain","1 container, NFS",170,g
"Yogurt, NS as to type of milk, plain",1 cup,245,g
"Yogurt, whole milk, plain",1 4 oz container,113,g
"Yogurt, whole milk, plain",1 6 oz container,170,g
"Yogurt, whole milk, plain","1 container, NFS",170,g
"Yogurt, whole milk, plain",1 cup,245,g
"Yogurt, low fat milk, plain",1 4 oz container,113,g
"Yogurt, low fat milk, plain",1 6 oz container,170,g
"Yogurt, low fat milk, plain","1 container, NFS",170,g
"Yogurt, low fat milk, plain",1 cup,245,g
"Yogurt, nonfat milk, plain",1 4 oz container,113,g
"Yogurt, nonfat milk, plain",1 6 oz container,170,g
"Yogurt, nonfat milk, plain","1 container, NFS",170,g
"Yogurt, nonfat milk, plain",1 cup,245,g
"Yogurt, Greek, NS as to type of milk, plain",1 5.3 oz container,150,g
"Yogurt, Greek, NS as to type of milk, plain",1 6 oz container,170,g
"Yogurt, Greek, NS as to type of milk, plain","1 container, NFS",150,g
"Yogurt, Greek, NS as to type of milk, plain",1 cup,245,g
"Yogurt, Greek, whole milk, plain",1 5.3 oz container,150,g
"Yogurt, Greek, whole milk, plain",1 6 oz container,170,g
"Yogurt, Greek, whole milk, plain","1 container, NFS",150,g
"Yogurt, Greek, whole milk, plain",1 cup,245,g
"Yogurt, Greek, low fat milk, plain",1 5.3 oz container,150,g
"Yogurt, Greek, low fat milk, plain",1 6 oz container,170,g
"Yogurt, Greek, low fat milk, plain","1 container, NFS",150,g
"Yogurt, Greek, low fat milk, plain",1 cup,245,g
"Yogurt, Greek, nonfat milk, plain",1 5.3 oz container,150,g
"Yogurt, Greek, nonfat milk, plain",1 6 oz container,170,g
"Yogurt, Greek, nonfat milk, plain","1 container, NFS",150,g
"Yogurt, Greek, nonfat milk, plain",1 cup,245,g
"Yogurt, NS as to type of milk, fruit",1 4 oz container,113,g
"Yogurt, NS as to type of milk, fruit",1 6 oz container,170,g
"Yogurt, NS as to type of milk, fruit","1 container, NFS",170,g
"Yogurt, NS as to type of milk, fruit",1 cup,245,g
"Yogurt, whole milk, fruit",1 4 oz container,113,g
"Yogurt, whole milk, fruit",1 6 oz container,170,g
"Yogurt, whole milk, fruit","1 container, NFS",170,g
"Yogurt, whole milk, fruit",1 cup,245,g
"Yogurt, low fat milk, fruit",1 tube,64,g
"Yogurt, low fat milk, fruit",1 4 oz container,113,g
"Yogurt, low fat milk, fruit",1 6 oz container,170,g
"Yogurt, low fat milk, fruit","1 container, NFS",170,g
"Yogurt, low fat milk, fruit",1 cup,245,g
"Yogurt, nonfat milk, fruit",1 4 oz container,113,g
"Yogurt, nonfat milk, fruit",1 6 oz container,170,g
"Yogurt, nonfat milk, fruit","1 container, NFS",170,g
"Yogurt, nonfat milk, fruit",1 cup,245,g
"Yogurt, Greek, NS as to type of milk, fruit",1 5.3 oz container,150,g
"Yogurt, Greek, NS as to type of milk, fruit",1 6 oz container,170,g
"Yogurt, Greek, NS as to type of milk, fruit","1 container, NFS",150,g
"Yogurt, Greek, NS as to type of milk, fruit",1 cup,245,g
"Yogurt, Greek, whole milk, fruit",1 5.3 oz container,150,g
"Yogurt, Greek, whole milk, fruit",1 6 oz container,170,g
"Yogurt, Greek, whole milk, fruit","1 container, NFS",150,g
"Yogurt, Greek, whole milk, fruit",1 cup,245,g
"Yogurt, Greek, low fat milk, fruit",1 tube,57,g
"Yogurt, Greek, low fat milk, fruit",1 5.3 oz container,150,g
"Yogurt, Greek, low fat milk, fruit",1 6 oz container,170,g
"Yogurt, Greek, low fat milk, fruit","1 container, NFS",150,g
"Yogurt, Greek, low fat milk, fruit",1 cup,245,g
"Yogurt, Greek, nonfat milk, fruit",1 5.3 oz container,150,g
"Yogurt, Greek, nonfat milk, fruit",1 6 oz container,170,g
"Yogurt, Greek, nonfat milk, fruit","1 container, NFS",150,g
"Yogurt, Greek, nonfat milk, fruit",1 cup,245,g
"Yogurt, NS as to type of milk, flavors other than fruit",1 4 oz container,113,g
"Yogurt, NS as to type of milk, flavors other than fruit",1 6 oz container,170,g
"Yogurt, NS as to type of milk, flavors other than fruit","1 container, NFS",170,g
"Yogurt, NS as to type of milk, flavors other than fruit",1 cup,245,g
"Yogurt, whole milk, flavors other than fruit",1 4 oz container,113,g
"Yogurt, whole milk, flavors other than fruit",1 6 oz container,170,g
"Yogurt, whole milk, flavors other than fruit","1 container, NFS",170,g
"Yogurt, whole milk, flavors other than fruit",1 cup,245,g
"Yogurt, low fat milk, flavors other than fruit",1 tube,64,g
"Yogurt, low fat milk, flavors other than fruit",1 4 oz container,113,g
"Yogurt, low fat milk, flavors other than fruit",1 6 oz container,170,g
"Yogurt, low fat milk, flavors other than fruit","1 container, NFS",170,g
"Yogurt, low fat milk, flavors other than fruit",1 cup,245,g
"Yogurt, nonfat milk, flavors other than fruit",1 4 oz container,113,g
"Yogurt, nonfat milk, flavors other than fruit",1 6 oz container,170,g
"Yogurt, nonfat milk, flavors other than fruit","1 container, NFS",170,g
"Yogurt, nonfat milk, flavors other than fruit",1 cup,245,g
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1 5.3 oz container,150,g
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1 6 oz container,170,g
"Yogurt, Greek, NS as to type of milk, flavors other than fruit","1 container, NFS",150,g
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1 cup,245,g
"Yogurt, Greek, whole milk, flavors other than fruit",1 5.3 oz container,150,g
"Yogurt, Greek, whole milk, flavors other than fruit",1 6 oz container,170,g
"Yogurt, Greek, whole milk, flavors other than fruit","1 container, NFS",150,g
"Yogurt, Greek, whole milk, flavors other than fruit",1 cup,245,g
"Yogurt, Greek, low fat milk, flavors other than fruit",1 tube,57,g
"Yogurt, Greek, low fat milk, flavors other than fruit",1 5.3 oz container,150,g
"Yogurt, Greek, low fat milk, flavors other than fruit",1 6 oz container,170,g
"Yogurt, Greek, low fat milk, flavors other than fruit","1 container, NFS",150,g
"Yogurt, Greek, low fat milk, flavors other than fruit",1 cup,245,g
"Yogurt, Greek, nonfat milk, flavors other than fruit",1 5.3 oz container,150,g
"Yogurt, Greek, nonfat milk, flavors other than fruit",1 6 oz container,170,g
"Yogurt, Greek, nonfat milk, flavors other than fruit","1 container, NFS",150,g
"Yogurt, Greek, nonfat milk, flavors other than fruit",1 cup,245,g
"Yogurt, Greek, with oats",1 5.3 oz container,150,g
"Yogurt, Greek, with oats","1 container, NFS",150,g
"Yogurt, Greek, with oats",1 cup,245,g
"Yogurt, liquid",1 bottle,93,g
"Yogurt, liquid",1 cup,245,g
"Chipotle dip, yogurt based",1 tablespoon,15,g
"Chipotle dip, yogurt based",1 individual container,70,g
"Dill dip, yogurt based",1 tablespoon,15,g
"Dill dip, yogurt based",1 individual container,70,g
"Onion dip, yogurt based",1 tablespoon,15,g
"Onion dip, yogurt based",1 individual container,70,g
"Ranch dip, yogurt based",1 tablespoon,15,g
"Ranch dip, yogurt based",1 individual container,70,g
"Spinach dip, yogurt based",1 tablespoon,15,g
"Spinach dip, yogurt based",1 individual container,70,g
Tzatziki dip,1 tablespoon,15,g
Tzatziki dip,1 individual container,70,g
"Vegetable dip, yogurt based",1 tablespoon,15,g
"Vegetable dip, yogurt based",1 individual container,70,g
"Yogurt parfait, low fat, with fruit",1 McDonald's parfait,150,g
"Frozen yogurt, NFS",1 cup,175,g
"Frozen yogurt, NFS",1 scoop,160,g
"Frozen yogurt, NFS",1 small ice cream cup,160,g
"Frozen yogurt, NFS",1 medium ice cream cup,320,g
"Frozen yogurt, NFS",1 large ice cream cup,480,g
"Frozen yogurt, vanilla",1 cup,175,g
"Frozen yogurt, vanilla",1 scoop,160,g
"Frozen yogurt, vanilla",1 small ice cream cup,160,g
"Frozen yogurt, vanilla",1 medium ice cream cup,320,g
"Frozen yogurt, vanilla",1 large ice cream cup,480,g
"Frozen yogurt, chocolate",1 cup,175,g
"Frozen yogurt, chocolate",1 scoop,160,g
"Frozen yogurt, chocolate",1 small ice cream cup,160,g
"Frozen yogurt, chocolate",1 medium ice cream cup,320,g
"Frozen yogurt, chocolate",1 large ice cream cup,480,g
"Frozen yogurt, soft serve, vanilla",1 cup,175,g
"Frozen yogurt, soft serve, chocolate",1 cup,175,g
Frozen yogurt sandwich,1 sandwich,75,g
"Frozen yogurt bar, vanilla",1 bar,65,g
"Frozen yogurt bar, chocolate",1 bar,65,g
"Frozen yogurt cone, chocolate",1 cone,125,g
"Frozen yogurt cone, vanilla",1 cone,125,g
"Frozen yogurt cone, vanilla, waffle cone",1 cone,255,g
"Frozen yogurt cone, chocolate, waffle cone",1 cone,255,g
"Yogurt, whole milk, baby food",1 container,113,g
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",1 container,113,g
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",1 container,113,g
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",1 container,113,g
"Chocolate milk, NFS",1 cup,248,g
"Chocolate milk, NFS",1 fl oz,31,g
"Chocolate milk, NFS",1 individual school container,248,g
"Chocolate milk, ready to drink, whole",1 cup,248,g
"Chocolate milk, ready to drink, whole",1 fl oz,31,g
"Chocolate milk, ready to drink, whole",1 individual school container,248,g
"Chocolate milk, ready to drink, reduced fat",1 cup,248,g
"Chocolate milk, ready to drink, reduced fat",1 fl oz,31,g
"Chocolate milk, ready to drink, reduced fat",1 individual school container,248,g
"Chocolate milk, ready to drink, fat free",1 cup,248,g
"Chocolate milk, ready to drink, fat free",1 fl oz,31,g
"Chocolate milk, ready to drink, fat free",1 individual school container,248,g
"Chocolate milk, ready to drink, low fat",1 fl oz,31,g
"Chocolate milk, ready to drink, low fat",1 cup,248,g
"Chocolate milk, ready to drink, low fat",1 individual school container,248,g
"Chocolate milk, ready to drink, reduced sugar, NS as to milk",1 cup,248,g
"Chocolate milk, ready to drink, reduced sugar, NS as to milk",1 fl oz,31,g
"Chocolate milk, ready to drink, low fat (Nesquik)",1 cup,248,g
"Chocolate milk, ready to drink, low fat (Nesquik)",1 fl oz,31,g
"Chocolate milk, ready to drink, fat free (Nesquik)",1 cup,248,g
"Chocolate milk, ready to drink, fat free (Nesquik)",1 fl oz,31,g
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",1 cup,248,g
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",1 fl oz,31,g
"Hot chocolate / Cocoa, ready to drink",1 cup,248,g
"Hot chocolate / Cocoa, ready to drink",1 fl oz,31,g
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",1 cup,248,g
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",1 fl oz,31,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",1 cup,248,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",1 fl oz,31,g
"Hot chocolate / Cocoa, ready to drink, with whipped cream",1 cup,248,g
"Hot chocolate / Cocoa, ready to drink, with whipped cream",1 fl oz,31,g
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",1 cup,248,g
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",1 fl oz,31,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",1 cup,248,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",1 fl oz,31,g
"Chocolate milk, made from dry mix, NS as to type of milk",1 cup,248,g
"Chocolate milk, made from dry mix, NS as to type of milk",1 fl oz,31,g
"Chocolate milk, made from dry mix with whole milk",1 cup,248,g
"Chocolate milk, made from dry mix with whole milk",1 fl oz,31,g
"Chocolate milk, made from dry mix with reduced fat milk",1 cup,248,g
"Chocolate milk, made from dry mix with reduced fat milk",1 fl oz,31,g
"Chocolate milk, made from dry mix with low fat milk",1 cup,248,g
"Chocolate milk, made from dry mix with low fat milk",1 fl oz,31,g
"Chocolate milk, made from dry mix with fat free milk",1 cup,248,g
"Chocolate milk, made from dry mix with fat free milk",1 fl oz,31,g
"Chocolate milk, made from dry mix with non-dairy milk",1 cup,248,g
"Chocolate milk, made from dry mix with non-dairy milk",1 fl oz,31,g
"Chocolate milk, made from reduced sugar mix, NS as to type of milk",1 cup,248,g
"Chocolate milk, made from reduced sugar mix, NS as to type of milk",1 fl oz,31,g
"Chocolate milk, made from reduced sugar mix with whole milk",1 cup,248,g
"Chocolate milk, made from reduced sugar mix with whole milk",1 fl oz,31,g
"Chocolate milk, made from reduced sugar mix with reduced fat milk",1 cup,248,g
"Chocolate milk, made from reduced sugar mix with reduced fat milk",1 fl oz,31,g
"Chocolate milk, made from reduced sugar mix with low fat milk",1 cup,248,g
"Chocolate milk, made from reduced sugar mix with low fat milk",1 fl oz,31,g
"Chocolate milk, made from reduced sugar mix with fat free milk",1 cup,248,g
"Chocolate milk, made from reduced sugar mix with fat free milk",1 fl oz,31,g
"Chocolate milk, made from reduced sugar mix with non-dairy milk",1 cup,248,g
"Chocolate milk, made from reduced sugar mix with non-dairy milk",1 fl oz,31,g
"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from dry mix with whole milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from dry mix with whole milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from dry mix with low fat milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from dry mix with low fat milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from dry mix with fat free milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from dry mix with fat free milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",1 cup,248,g
"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",1 cup,248,g
"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",1 fl oz,31,g
"Chocolate milk, made from syrup, NS as to type of milk",1 cup,248,g
"Chocolate milk, made from syrup, NS as to type of milk",1 fl oz,31,g
"Chocolate milk, made from syrup with whole milk",1 cup,248,g
"Chocolate milk, made from syrup with whole milk",1 fl oz,31,g
"Chocolate milk, made from syrup with reduced fat milk",1 cup,248,g
"Chocolate milk, made from syrup with reduced fat milk",1 fl oz,31,g
"Chocolate milk, made from syrup with low fat milk",1 cup,248,g
"Chocolate milk, made from syrup with low fat milk",1 fl oz,31,g
"Chocolate milk, made from syrup with fat free milk",1 cup,248,g
"Chocolate milk, made from syrup with fat free milk",1 fl oz,31,g
"Chocolate milk, made from syrup with non-dairy milk",1 cup,248,g
"Chocolate milk, made from syrup with non-dairy milk",1 fl oz,31,g
"Chocolate milk, made from light syrup, NS as to type of milk",1 cup,248,g
"Chocolate milk, made from light syrup, NS as to type of milk",1 fl oz,31,g
"Chocolate milk, made from light syrup with whole milk",1 cup,248,g
"Chocolate milk, made from light syrup with whole milk",1 fl oz,31,g
"Chocolate milk, made from light syrup with reduced fat milk",1 cup,248,g
"Chocolate milk, made from light syrup with reduced fat milk",1 fl oz,31,g
"Chocolate milk, made from light syrup with low fat milk",1 cup,248,g
"Chocolate milk, made from light syrup with low fat milk",1 fl oz,31,g
"Chocolate milk, made from light syrup with fat free milk",1 cup,248,g
"Chocolate milk, made from light syrup with fat free milk",1 fl oz,31,g
"Chocolate milk, made from light syrup with non-dairy milk",1 cup,248,g
"Chocolate milk, made from light syrup with non-dairy milk",1 fl oz,31,g
"Chocolate milk, made from sugar free syrup, NS as to type of milk",1 cup,248,g
"Chocolate milk, made from sugar free syrup, NS as to type of milk",1 fl oz,31,g
