food_name|description|energy|protein|total_fat|saturated_fat|dietary_fibre|carbohydrate|cholesterol|sodium
6-inch Subway Club Sandwich, Subway|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|298.89 kcal|24.3 g|5.2 g|1.8 g|4.01 g|38.98 g|38.88 mg|1057.05 mg
6-inch Subway Melt Sandwich, Subway|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|360 kcal|24 g|10.99 g|5.3 g|4.01 g|39 g|45.6 mg|1404 mg
6-inch Sweet Onion Chicken Teriyaki Sandwich, Subway|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|355.11 kcal|26.7 g|4.81 g|1.5 g|4.01 g|50.01 g|48.06 mg|881.1 mg
6-inch Tuna Sandwich, Subway|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|507.4 kcal|21.24 g|30 g|6.89 g|3.99 g|35.99 g|44.84 mg|800.04 mg
6-inch Turkey Breast and Ham Sandwich, Subway|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|271.56 kcal|19.71 g|4.49 g|1.49 g|4.01 g|38 g|26.28 mg|1011.78 mg
6-inch Turkey breast Sandwich, Subway|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|271.56 kcal|19.71 g|4.49 g|1.49 g|4.01 g|38 g|26.28 mg|1011.78 mg
6-inch Veggie Delite Sandwich, Subway|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|205.02 kcal|9.18 g|2.69 g|0.9 g|3.99 g|35.01 g|NA|284.58 mg
Abalone noodles, soup|Egg noodles with sliced abalone and chye sim|243.97 kcal|18.22 g|4.52 g|1.66 g|2.46 g|32.68 g|32.63 mg|1543.65 mg
Abalone, canned||64.64 kcal|13.95 g|0.32 g|NA|NA|0.64 g|NA|384 mg
Abalone, canned, brine only|Brine from canned abalone|75.64 kcal|12.2 g|0.1 g|NA|NA|6.34 g|NA|1832.44 mg
Abalone, canned, drained|Processed abalone in brine, packed in cans, drained before sampling|178.08 kcal|36.46 g|1.06 g|0.36 g|NA|5.94 g|163.24 mg|1411.92 mg
Abalone, dried||31.82 kcal|6.77 g|0.21 g|0.11 g|NA|0.3 g|125.9 mg|315 mg
Abalone, raw||15.62 kcal|3.33 g|0.1 g|0.05 g|NA|0.15 g|30.98 mg|122.88 mg
Abalone, soup|Abalone soup with mushroom, pork, lettuce, ginger, spring onion and chinese rice wine|93.71 kcal|12.22 g|4.07 g|1.36 g|1.02 g|2.04 g|128.34 mg|1045.03 mg
Abok abok sago||3.72 kcal|0.03 g|0.17 g|0.15 g|0.04 g|0.5 g|NA|3.96 mg
Acai bowl||374.76 kcal|7.98 g|13.91 g|4.23 g|7.98 g|54.13 g|NA|63.5 mg
Achar|Pickled vegetables|166.67 kcal|2.98 g|3.14 g|1.1 g|2.98 g|36.08 g|NA|945.93 mg
African bream, fried in chilli||146.4 kcal|11.9 g|8.96 g|NA|0.05 g|4.48 g|NA|183.76 mg
Agar-agar, plain|Plain jelly|38.5 kcal|0.1 g|0.1 g|0.08 g|0.25 g|9.3 g|NA|3.5 mg
Agedeshi tofu|Tofu, breaded, deep fried, with soy sauce, Japanese style|15.08 kcal|0.47 g|1.19 g|0.33 g|0.07 g|0.63 g|0.1 mg|15.7 mg
Aiyu Dessert with Red Bean Toppings|Aiyu jelly and red beans|376.95 kcal|1.8 g|24.38 g|6.17 g|4.31 g|37.7 g|NA|32.17 mg
Ajinomoto, MSG||NA|NA|NA|NA|NA|NA|NA|615 mg
Ale|beer, ale|177.05 kcal|2 g|NA|NA|NA|7 g|NA|50 mg
Allspice, ground||15.78 kcal|0.37 g|0.52 g|0.15 g|1.3 g|3.03 g|NA|4.62 mg
Almond jelly|Jelly made from almond powder|150 kcal|2.4 g|1.2 g|0.7 g|NA|32.8 g|3.8 mg|28 mg
Almond paste||214.84 kcal|5.5 g|11.27 g|0.71 g|1.57 g|23.06 g|NA|30.65 mg
Aloe vera|Fresh and slimy aloe vera pulp, removed from a thick aloe vera leaf.|2.31 kcal|NA|NA|NA|0.01 g|0.57 g|NA|16.24 mg
Aloe vera drink|Nil|172.59 kcal|NA|NA|NA|0.52 g|43.93 g|NA|10.46 mg
Aloe vera with jelly dessert|Sweet syrup served with small but juicy aloe vera cubes and chunks of soft jelly, with lime to add zest|122.29 kcal|NA|NA|NA|0.22 g|30.57 g|NA|3.98 mg
Amocan Singapore Rendang Paste|-|44.7 kcal|0.42 g|3.05 g|1.95 g|0.76 g|3.92 g|0.3 mg|96.3 mg
Anchovy, canned in oil, drained|ikan bilis, jiang yu zhai, gong yu cai|6.56 kcal|0.91 g|0.32 g|0.07 g|NA|NA|2.77 mg|197.28 mg
Anchovy, dried, fried|Ikan bilis|125.28 kcal|14.29 g|7.57 g|3.35 g|NA|NA|20.25 mg|1244.7 mg
Anchovy, dried, with peanut, fried|Ikan bilis sambal|554.97 kcal|37.1 g|42.3 g|13.1 g|5.5 g|6.5 g|88 mg|2120 mg
Anchovy, fresh, whole||3.81 kcal|0.8 g|0.05 g|0.02 g|NA|0.03 g|2.94 mg|27.6 mg
Anchovy, minus head and entrail, dried, raw||0.79 kcal|0.18 g|0.01 g|0 g|NA|0 g|0.58 mg|11.91 mg
Anchovy, whole, dried, raw||0.26 kcal|0.06 g|0 g|0 g|NA|0 g|0.06 mg|0.36 mg
Ang koo kueh, green bean fillling||144.84 kcal|2.09 g|4.28 g|1.89 g|1.53 g|24.48 g|NA|14.28 mg
Ang koo kueh, peanut filling|Steamed local cake made with glutinous rice paste, with peanut filling|239.33 kcal|6.03 g|12.2 g|4.07 g|3.25 g|26.31 g|NA|35.93 mg
Anise seeds, dried||7.08 kcal|0.37 g|0.33 g|0.01 g|0.31 g|1.05 g|NA|0.34 mg
Apple Dippers with Caramel Sauce, McDonald's|Apple slices served with a low-fat caramel sauce|32.93 kcal|NA|NA|NA|1 g|7 g|NA|2 mg
Apple Juice|100% apple juice|100 kcal|NA|NA|NA|NA|24.75 g|NA|7.5 mg
Apple crumble|Sweet smelling apple crumble pie, with a crumbly pasta crust, and a succulent thick fruit mixture accompanied by sweet gold syrup, filled with apple chunks and a variety of fruits like raisins.|353.5 kcal|5.84 g|14.85 g|11.54 g|6.05 g|49.11 g|11.76 mg|92.18 mg
Apple juice|100% apple juice|100 kcal|NA|NA|NA|NA|24.75 g|NA|7.5 mg
Apple juice drink|Beverage prepared by crushing apples and filtering or clarifying the resultant juice. Juice is not sparkling or carbonated|104.27 kcal|NA|NA|NA|NA|26.36 g|NA|23.49 mg
Apple juice drink, with no added sugar|Apple juice drink, no added sugar|85 kcal|NA|NA|NA|0.5 g|21.25 g|NA|10 mg
Apple pie, McDonald's||232.05 kcal|1.7 g|13 g|6.3 g|2 g|26 g|NA|190.4 mg
Apple strudel|Nil|282.88 kcal|3.46 g|13.95 g|7.78 g|3.97 g|35.97 g|26.88 mg|138.24 mg
Apple, dried|Dried processed apple, sugar added|356.53 kcal|NA|0.51 g|0.12 g|9.9 g|77.27 g|NA|313.1 mg
Apple, green, raw, with peel, core and stalk|Apple, granny smith, raw with peel; epal hijau berkulit|70.73 kcal|0.43 g|0 g|0 g|3.3 g|15.36 g|NA|2.87 mg
Apple, red, raw, with peel, core and stalk|Apple, delicious, raw, with peel|96.09 kcal|0.51 g|0 g|0 g|3.74 g|21.79 g|NA|1.7 mg
Apple, stewed with sugar|Apple, stewed with sugar|127.83 kcal|0.56 g|0.37 g|NA|2.99 g|32.35 g|NA|3.74 mg
Apple, stewed without sugar||61.95 kcal|0.54 g|0.54 g|NA|2.88 g|14.76 g|NA|3.6 mg
Apple, unspecified type, red, raw, with skin|Averaged weighted results of red skinned apples including red delicious, jonathon, bonza, pink lady and fuji.|79.24 kcal|0.41 g|0.28 g|NA|3.17 g|16.84 g|NA|1.38 mg
Apples, raw, without skin||61.38 kcal|0.35 g|0.17 g|0.03 g|1.66 g|16.32 g|NA|NA
Apricot nectar juice drink|Commercially prepared product made from 35% 0r 50% apricot juice or puree, water and sugars. No vitamin C added.|136.93 kcal|0.8 g|NA|NA|NA|34.19 g|NA|10.6 mg
Apricot, canned in artificially sweetened juice|Apricot, canned in artificially sweetened juice|58.45 kcal|1.24 g|NA|NA|3.21 g|12.35 g|NA|7.41 mg
Apricot, canned in artificially sweetened liquid, drained|Canned apricots, drained of sugar-based syrup prior to analysis.|4.8 kcal|0.14 g|NA|NA|0.44 g|0.66 g|NA|0.51 mg
Apricot, canned in pear juice|Apricots canned in pear juice.|113.45 kcal|1.98 g|NA|NA|4.45 g|20.25 g|NA|9.88 mg
Apricot, canned in pear juice, drained|Canned apricots, drained of pear juice prior to analysis|103.14 kcal|2.2 g|NA|NA|6.82 g|17.16 g|NA|6.6 mg
Apricot, canned in syrup|Apricots canned in sugar syrup|158.6 kcal|1.82 g|NA|NA|4.42 g|33.54 g|NA|5.2 mg
Apricot, canned in syrup, drained|Canned apricots, drained of sugar-based syrup prior to analysis|135.78 kcal|1.98 g|NA|NA|6.82 g|27.06 g|NA|4.4 mg
Apricot, dried|Nil|521.16 kcal|1.62 g|0.4 g|0.14 g|19.59 g|127.87 g|NA|44.44 mg
Apricots||16.96 kcal|0.49 g|0.14 g|0.01 g|0.71 g|3.93 g|NA|0.35 mg
Aquaresin garlic||8.54 kcal|NA|0.95 g|0.13 g|NA|0.01 g|NA|1.75 mg
Artificial sweetener, aspartame||12.78 kcal|0.08 g|NA|NA|NA|3.12 g|NA|NA
Artificial sweetener, saccharin||0.01 kcal|NA|NA|NA|0.01 g|NA|NA|9.9 mg
Arugula, raw||5 kcal|0.52 g|0.13 g|0.02 g|0.32 g|0.41 g|NA|5.4 mg
Asparagus, canned, solid and liquid||1.41 kcal|0.18 g|0.02 g|0 g|0.21 g|0.22 g|NA|34.8 mg
Asparagus, fresh, raw|long xu cai; lu sun, lu shun, lu sum|2.09 kcal|0.25 g|0.01 g|0 g|0.23 g|0.14 g|NA|0.2 mg
Assam buoy|Plum powder with sugar added, dried|5.31 kcal|0.03 g|0.01 g|NA|0.11 g|1.27 g|NA|210.15 mg
Assam chicken|Ayam goreng assam, Chicken, in tamarind, deep fried|191.3 kcal|28.04 g|8.74 g|3.21 g|0.7 g|0.26 g|83.86 mg|371.24 mg
Assam fish|Malay style fish with assam and chilli, Ikan masak assam pedas, assam fish, asam fish, spicy and sour fish curry, nyonya spicy tamarind fish,|123.31 kcal|20.78 g|3.72 g|2.15 g|1.86 g|2.03 g|60.81 mg|532.07 mg
Assam petai (Malay)|Petai beans, spice paste, stewed|111.35 kcal|8.25 g|6.68 g|2.28 g|6.97 g|4.32 g|23.97 mg|320.69 mg
Assam powder||35.7 kcal|0.14 g|NA|NA|0.47 g|8.76 g|NA|1194.6 mg
Assam prawn|Prawns with tamarind, stir-fried|369.48 kcal|33.16 g|17.23 g|9.4 g|0.26 g|20.37 g|355.14 mg|1684.32 mg
Assam prawn|Prawns with tamarind, stir-fried|369.48 kcal|33.16 g|17.23 g|9.4 g|0.26 g|20.37 g|355.14 mg|1684.32 mg
Athirasam, deep fried|Deep fried wheat dough in the shape of doughnut|238.15 kcal|1.98 g|9.52 g|4.28 g|0.83 g|36.14 g|NA|34.65 mg
Avocado juice, with added milk||127.5 kcal|2.75 g|9.5 g|2.48 g|2.5 g|7.75 g|NA|52.5 mg
Avocados, raw, all commercial varieties||322.05 kcal|4.03 g|29.51 g|4.28 g|13.49 g|17.17 g|NA|14.09 mg
Ayam buah keluak|Chicken buah keluak W/ black nuts and chilli|810.29 kcal|60.18 g|53.62 g|17.28 g|3.57 g|21.45 g|339.61 mg|2889.63 mg
Ayam kurmah|Chicken kurma; Chicken korma; Ayam korma|877.11 kcal|29.06 g|66.95 g|35.34 g|10.38 g|38.93 g|67.47 mg|1001.67 mg
Ayam masak lemak cili padi|Chicken, coconut and chilli, simmered|267.89 kcal|16.7 g|21.77 g|11.81 g|1.12 g|1.31 g|64.98 mg|376.82 mg
Ayam masak merah|Chicken cooked in red thick tomato sauce, malay style|89.22 kcal|7.62 g|5.44 g|1.41 g|2.61 g|2.39 g|28.29 mg|138.55 mg
Ayam panggang|Fresh chicken barbecued with shallots and red or brown onions, spicy|286.81 kcal|25.33 g|20.19 g|7.44 g|2.14 g|0.96 g|142.51 mg|139.54 mg
Ayam penyet with rice|Ayam penyet with rice, nasi ayam penyet|935.63 kcal|84.28 g|32.48 g|11.43 g|4.44 g|77.2 g|120.46 mg|1591.76 mg
Ayam sioh|Chicken sioh|517.44 kcal|46.57 g|28.78 g|9.38 g|6.14 g|18.11 g|187.57 mg|1361.51 mg
Ayam tempra|Chicken, with soya sauce, lime juice, brown onion, simmered|212.01 kcal|17.78 g|14.49 g|4.34 g|2.04 g|2.64 g|100.44 mg|379.33 mg
BBQ Turkey Bacon Double Cheeseburger, Burger King||623.22 kcal|35.36 g|35.05 g|13.54 g|2.87 g|38.87 g|90.61 mg|1180.14 mg
BK Big Fish, Burger King||515.97 kcal|20.79 g|27.23 g|6.26 g|2.7 g|46.36 g|43.47 mg|708.75 mg
Baby corn, raw|Young, immature ear|42.05 kcal|3.33 g|0.29 g|0.04 g|3.92 g|8.7 g|NA|NA
Bacon and cheese tako ball|Japanese Bacon & Cheese Ball|134.1 kcal|7.29 g|3.33 g|1.35 g|1.35 g|18.81 g|25.2 mg|380.7 mg
Bacon, cooked, baked||44.39 kcal|2.89 g|3.5 g|1.15 g|NA|0.11 g|8.67 mg|177.63 mg
Bacon, cooked, pan-fried||42.11 kcal|3.03 g|3.18 g|1.05 g|NA|0.12 g|8.93 mg|191.81 mg
Bacon, raw||96.18 kcal|2.44 g|9.46 g|3.15 g|NA|0.14 g|14.28 mg|174.93 mg
Bagel, plain|Diameter of: small=6.35 cm; medium= 8.9 cm; large=11.4 cm; whole= 7.6 cm|330 kcal|12.6 g|1.92 g|0.26 g|2.76 g|64.08 g|NA|640.8 mg
Bak kua, beef|Beef meat, sliced, dried, barbequed|178.74 kcal|15.44 g|3.19 g|1.4 g|NA|22.09 g|38.34 mg|481.68 mg
Bak kua, chicken|Grilled minced chicken meat|175.05 kcal|10.89 g|6.35 g|2.47 g|0.95 g|18.5 g|14.4 mg|404.55 mg
Bak kua, pork with lean and fat|Pork meat, sliced, dried, barbequed|300.75 kcal|20.02 g|10.27 g|4.13 g|NA|32.03 g|44.25 mg|732 mg
Bak kua, pork, lean|chizipan|370.36 kcal|36.1 g|4.04 g|1.75 g|1.69 g|47.28 g|8.46 mg|846.94 mg
Bak kua, vegetarian|BBQ vegetarian Protein|247.16 kcal|13.1 g|8.21 g|2.81 g|3.85 g|30.27 g|NA|885.78 mg
Bak kut teh|Soup made with pork ribs, garlic, and five spices|323.71 kcal|28.11 g|23.43 g|9.37 g|NA|NA|153.34 mg|1316.15 mg
Bak kut teh, soup only|Nil|50.04 kcal|2.09 g|0.42 g|0.08 g|NA|9.59 g|33.36 mg|3807.21 mg
Baked Chicken Rice|Rice, chicken, cheese, capsicum, egg, diced mushroom and diced carrot|794.76 kcal|42.62 g|34.9 g|18.51 g|2.66 g|77.26 g|NA|1349.76 mg
Baked Fish Rice|Rice, fish, diced mushroom, cheese, egg, diced carrot and mushroom|729 kcal|34.2 g|33.71 g|19.21 g|6.75 g|72.45 g|NA|1399.5 mg
Baked durian mooncake|Mooncake, durian, plain, baked|102.35 kcal|1.28 g|5.28 g|2.03 g|0.68 g|12.44 g|0.75 mg|46.38 mg
Baked kueh lapis|Kuih lapis, baked|237.3 kcal|4 g|16.9 g|10.45 g|0.6 g|17.3 g|112 mg|159.5 mg
Baked lotus paste mooncake|Mooncake, lotus seed paste, plain, baked|95.28 kcal|1.39 g|4.33 g|1.09 g|0.67 g|12.69 g|1.48 mg|29.18 mg
Baked otah bun|Bun, otak, baked|190.28 kcal|7.1 g|5.49 g|3.75 g|1.34 g|28.14 g|26.8 mg|263.98 mg
Baking powder, double-acting||2.44 kcal|NA|NA|NA|0.01 g|1.26 g|NA|487.6 mg
Baking soda||NA|NA|NA|NA|NA|NA|NA|1258.56 mg
Bakwan kepiting|Soup with minced pork meat ball, deep fried, bamboo shoots, nonya style|141.15 kcal|14.91 g|8.85 g|3.33 g|1.19 g|0.5 g|33.8 mg|1511.38 mg
Bamboo shoot, in coconut milk, stewed (Malay)|Rebung marah lemak|108.52 kcal|3.93 g|8.98 g|7.71 g|2.75 g|2.88 g|10.14 mg|631.46 mg
Bamboo shoots, braised, canned, drained||3.77 kcal|0.09 g|0.25 g|0.01 g|0.12 g|0.28 g|NA|44.78 mg
Bamboo shoots, pickled||60.48 kcal|3.02 g|NA|NA|2.88 g|12.24 g|NA|938.88 mg
Bamboo shoots, raw||7.26 kcal|0.5 g|0.14 g|NA|0.18 g|1 g|NA|4.31 mg
Ban mian soup|Ban mian, soup|475.2 kcal|21.65 g|21.65 g|8.45 g|3.17 g|48.05 g|232.32 mg|2196.48 mg
Ban mian, noodles only|Ban mian, noodles only|283.9 kcal|9.35 g|2.67 g|0.57 g|3.34 g|55.78 g|6.68 mg|604.54 mg
Banana (pisang mas)||38.12 kcal|0.54 g|0.12 g|0.04 g|1 g|8.82 g|NA|3.85 mg
Banana (pisang nangka)||93 kcal|1.08 g|0.15 g|0.05 g|2 g|21.91 g|NA|16.91 mg
Banana (pisang rajah udang / merah)||110.56 kcal|1.2 g|0.4 g|0.13 g|3.46 g|25.71 g|NA|2.66 mg
Banana (pisang rastali)||31.05 kcal|0.52 g|0.07 g|0.02 g|0.85 g|7.12 g|NA|9.8 mg
Banana (pisang tanduk)||348.9 kcal|3.55 g|1.18 g|0.41 g|7.69 g|81.61 g|NA|53.22 mg
Banana cake|Cake, banana|291.6 kcal|5.04 g|15.66 g|6.44 g|1.17 g|32.58 g|64.8 mg|128.7 mg
Banana chips||255.85 kcal|1.28 g|15.41 g|7.44 g|2.15 g|28.02 g|NA|107.95 mg
Banana flower||9.52 kcal|0.48 g|0.07 g|0.01 g|0.27 g|1.5 g|NA|20.13 mg
Banana fritter|Pisang goreng|196.95 kcal|1.43 g|5.33 g|3.45 g|2.28 g|35.88 g|NA|103.35 mg
Banana, raw, unspecified type||67.21 kcal|0.83 g|0.25 g|0.08 g|1.96 g|17.22 g|NA|0.76 mg
Bandung||157.5 kcal|1 g|2.5 g|1.75 g|NA|33 g|5 mg|17.5 mg
Barbecued chicken wings|Barbecued chicken wings with meat and skin, commercially produced|154.23 kcal|14.89 g|10.58 g|2.99 g|NA|NA|80.11 mg|325.2 mg
Barbecued spare ribs|Barbequed spare ribs, lean and fat|73.08 kcal|4.2 g|5.86 g|2.41 g|NA|0.92 g|16.89 mg|100.8 mg
Barbecued spring chicken|BBQ spring chicken with meat and skin, commercial.|547.28 kcal|51.28 g|37.94 g|11.27 g|NA|NA|335.73 mg|1076.17 mg
Barfi|Indian gram flour fudge; barfee|270.5 kcal|2.55 g|16.7 g|5.74 g|0.75 g|27.5 g|NA|6 mg
Barilla Arrabbiata Sauce|-|9.3 kcal|0.22 g|0.53 g|0.06 g|0.3 g|0.9 g|NA|60 mg
Barilla Napoletana Sauce|-|10.65 kcal|0.22 g|0.56 g|0.08 g|0.22 g|1.07 g|NA|60 mg
Barley water||54.51 kcal|NA|NA|NA|NA|13.98 g|NA|2.37 mg
Barley, pearl, raw||46.9 kcal|1.29 g|0.18 g|0.03 g|1.6 g|10.04 g|NA|0.28 mg
Basan cake|Baked sugary cake in heart shape|296.45 kcal|2.09 g|18.37 g|9.77 g|0.94 g|30.8 g|7.15 mg|3.3 mg
Base, beef flavour, natural||2.32 kcal|0.06 g|0.09 g|0.03 g|0 g|0.31 g|0.36 mg|116.5 mg
Base, chicken flavour, natural||2.04 kcal|0.06 g|0.07 g|0.02 g|0 g|0.29 g|0.37 mg|109.25 mg
Base, shrimp flavour, natural||2.12 kcal|0.12 g|0.02 g|0 g|0 g|0.36 g|0.09 mg|90.35 mg
Basil Crayfish Pasta, Pizzahut||482.4 kcal|25.2 g|14.04 g|2.92 g|8.28 g|65.52 g|36.72 mg|1710 mg
Basil, dry||3.51 kcal|0.2 g|0.06 g|0 g|0.25 g|0.6 g|NA|0.48 mg
Basil, fresh||1.04 kcal|0.08 g|0.02 g|0 g|0.14 g|0.13 g|NA|0.23 mg
Bass, sharptooth, raw||95.95 kcal|20.85 g|1.34 g|NA|NA|NA|NA|54.7 mg
Batang, raw|Raw batang fish|110.72 kcal|20.03 g|3.47 g|1.7 g|NA|NA|26.96 mg|95.32 mg
Bathusa|Wheat flour fried in vegetable oil with sugary coating|284.48 kcal|2.52 g|16.58 g|7.6 g|0.56 g|31.3 g|NA|19.6 mg
Batter mix, dry||3.58 kcal|0.08 g|0.02 g|NA|0.02 g|0.8 g|NA|3.31 mg
Baulu cermai|Made of wheat flour, sugar, eggs, cooked with charcoal fire|22.8 kcal|0.56 g|0.29 g|0 g|0.07 g|4.48 g|0 mg|4.8 mg
Bay leaf, raw||5.63 kcal|0.14 g|0.15 g|0.04 g|0.47 g|0.88 g|NA|0.41 mg
Bean paste, fermented, with chilli||33.13 kcal|1.42 g|1.06 g|0.11 g|0.4 g|4.46 g|NA|396.18 mg
Bean sprouts, raw|Dou ya cai; taugeh; tau nga choi|12.6 kcal|1.69 g|0.06 g|NA|1 g|0.88 g|NA|0.63 mg
Bean, broad, boiled|Fava bean|100.45 kcal|12.58 g|0.85 g|NA|12.92 g|4.08 g|NA|5.1 mg
Bean, broad, raw|Fava bean|4.27 kcal|0.54 g|0.04 g|NA|0.55 g|0.17 g|NA|0.31 mg
Beancurd Dessert with Red Bean Toppings|Beancurd and red beans|164.64 kcal|9.8 g|5.25 g|2.63 g|7.45 g|19.6 g|NA|50.18 mg
Beancurd, preserved||336.63 kcal|28.63 g|18.55 g|2.91 g|NA|13.74 g|NA|4831.9 mg
Beancurd, red, preserved||11.42 kcal|0.91 g|0.61 g|0.1 g|0.05 g|0.57 g|NA|233.68 mg
Beans broad, coated with satay powder, deep fried|Satay broad beans|472.63 kcal|22.84 g|24.41 g|10.26 g|11.28 g|40.39 g|4.48 mg|1130.87 mg
Beans, baked, canned, plain or vegetarian||238.76 kcal|12.07 g|0.94 g|0.18 g|10.41 g|43.28 g|NA|871.22 mg
Beans, black, fermented||39.04 kcal|3.86 g|NA|NA|0.94 g|5.89 g|NA|42.24 mg
Beans, black, mature seeds, cooked, boiled, without salt|Hei dou, Urad, Black Bean|227.04 kcal|15.24 g|0.93 g|0.24 g|14.96 g|40.78 g|NA|1.72 mg
Beans, four angled, raw||17.92 kcal|1.49 g|0.12 g|0 g|1.25 g|2.74 g|NA|1.79 mg
Beans, french, raw|Si ji dou; kacang buncis; kacang pendek; bunchi kai; or-kui-tau|22.74 kcal|1.87 g|0.16 g|NA|2.41 g|2.1 g|NA|1.56 mg
Beans, hyacinth beans, immature seeds, raw||36.79 kcal|1.68 g|0.16 g|0.07 g|NA|7.35 g|NA|1.6 mg
Beans, kidney, red, mature seeds, raw||620.08 kcal|41.4 g|2.02 g|0.28 g|27.97 g|112.79 g|NA|22.08 mg
Beans, lima, dried||473.4 kcal|38.52 g|3.06 g|0.36 g|31.86 g|67.86 g|NA|5.4 mg
Beans, navy, mature seeds, raw||705.12 kcal|40.96 g|3.12 g|0.35 g|31.82 g|131.85 g|NA|10.4 mg
Beans, soya bean, black||656.48 kcal|56.67 g|23.41 g|NA|NA|54.56 g|NA|63.36 mg
Beans, soya beans, mature cooked, boiled, without salt||297.56 kcal|28.62 g|15.43 g|2.23 g|10.32 g|17.06 g|NA|1.72 mg
